"SAMPLE_NAME","shannon","observed_otus","chao1","simpson","faith_pd"
"10317.000072291",6.18362753352112,162,217.038461538462,0.968284,20.2808049294992
"10317.000031311",6.03526812053125,147,186.6,0.969702,20.552760950227
"10317.000041532",4.43781835750396,92,138.866666666667,0.89381,12.3367690227397
"10317.000076224",5.48140322220249,129,197.9,0.956194,15.246277717184
"10317.000014194",4.70255568301138,83,93,0.910816,10.7765695991831
"10317.000051201",4.53929054667701,77,124.25,0.919774,10.5768048122118
"10317.000010130",3.55850148609053,67,101.363636363636,0.81683,10.4329839397276
"10317.000020077",5.11863960891738,133,182.214285714286,0.922168,17.2630743260378
"10317.000072252",5.71357641377437,139,207.9,0.957014,17.229096706778
"10317.000074418",4.24488829936406,81,93.65,0.883796,11.5425031562863
"10317.000041590",4.32617518777324,92,125.066666666667,0.855738,12.1869883644186
"10317.000040318",5.161811288006,115,154.136363636364,0.929022,13.2674674241464
"10317.000072180",2.5141849022608,53,63,0.57153,8.88782286055543
"10317.000087652",3.95125183827327,82,117.1,0.792818,12.8238149257873
"10317.000087646",5.31998271426821,116,153,0.941486,13.8896295469277
"10317.000012071",5.27155725696933,119,200.666666666667,0.949924,15.1796000920524
"10317.000071905",5.13146725693596,75,98.75,0.959088,10.4276472127909
"10317.000039760",3.58897525566186,63,69.6666666666667,0.83911,9.53702207153074
"10317.000039645",3.37653279445906,65,86.1111111111111,0.734048,8.94718291229098
"10317.000021155",5.53190862450331,109,132.619047619048,0.962634,12.8991283522666
"10317.000018046",4.8120292827729,107,150.04347826087,0.92229,14.6920241082919
"10317.000071473",5.31620702469061,94,109,0.950352,11.1386614929211
"10317.000039694",5.70910080887632,147,200,0.95658,18.8533241787231
"10317.000023858",5.22125519663185,99,120,0.94851,12.8911520530358
"10317.000023096",4.43793966548619,68,93.0909090909091,0.920664,9.32326915024407
"10317.000016300",3.82030417456365,72,128.1,0.86889,9.65913693331184
"10317.000039898",5.40559460663068,89,128.428571428571,0.960362,11.4178028023471
"10317.000020106",4.96772593026293,107,152.315789473684,0.933328,13.1022893911596
"10317.000022551",5.89922571898413,133,199.352941176471,0.970382,14.9517122922263
"10317.000040003",5.26377130462997,112,159.3,0.951972,15.0963527392062
"10317.000043210",4.97169230602298,89,155.6,0.948058,12.7942449461303
"10317.000040410",5.25830175246177,118,172.473684210526,0.947524,14.1983915969713
"10317.000032616",5.15483667400319,96,136.615384615385,0.951438,12.4130060125829
"10317.000023224",5.90884466919118,152,264.894736842105,0.967816,19.8838507246402
"10317.000020436",4.3512222317615,120,155.636363636364,0.833846,15.8414500163973
"10317.000033672",3.03829816241063,59,71.2142857142857,0.700466,8.93736328403351
"10317.000087046",4.65268647463529,117,166.136363636364,0.857152,15.6251600331322
"10317.000076218",5.09367097188449,111,163.555555555556,0.943142,14.3078251751469
"10317.000047323",5.04030667010257,96,125,0.922862,12.4591093405034
"10317.000017277",5.05086381540492,92,121,0.950728,11.3739484955598
"10317.000022969",6.07360726305799,149,206.416666666667,0.974292,18.6867293030383
"10317.000036433",4.56210738520464,101,138.05,0.893534,15.4768109041399
